assessid,assessorid,stockid,stocklong,recorder,daterecorded,dateloaded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent
NEFSC-ACADREDGOMGB-1913-2007-MILLER,NEFSC,ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,MILLER,4/16/2009,8/1/2012,1913-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,,,1,1,ASAP,Variance of Discard estimates and small total removal estimates allowed some implausibly high fishing mortality estimates in recent years,../spreadsheets/MILLER-ACADIANREDFISH-2008-editedDR-QAQC.xls,999
IFOP-AFLONCH-1998-2011-CHING,IFOP,AFLONCH,Alfonsino Chile,CHING,3/18/2013,1/1/2002,1998-2011,NULL,NULL,NULL,2DO INFORME ESTATUS  alfonsino 2013,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-AFLONCH-2011-DH-edited.xls,999
IOTC-ALBAIO-1950-2010-CHING,IOTC,ALBAIO,Albacore tuna Indian Ocean,CHING,9/28/2012,11/22/2012,1950-2010,http://www.iotc.org/files/proceedings/2008/wptmt/IOTC-2008-WPTe-09.pdf,Rich Hillary (r.hillary@imperial.ac.uk),NULL,IOTC-2008-WPTe-7-Risk-assessment-of-Indian-Ocean-albacore-stock-status-using-an-age-structured-production-model.,1,1,ASPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ALBAIO-2012-DH-edited.xls,999
ICCAT-ALBAMED-1956-2011-CHING,ICCAT,ALBAMED,Albacore tuna Mediterranean,CHING,9/28/2012,11/22/2012,1956-2011,www.iccat.es/Documents/Meetings/Docs/2011_ALB_ASSESS_EN.pdf,Laurie Kell,NULL,"Collect. Vol. Sci. Pap. ICCAT, 68(2): 519-528 (2012)-Report-of-the-2011-ICCAT-South-Atlantic-and-Mediterranean-albacore-stock-assessment-sessions-(Madrid, Spain  July 25 to 29, 2011).",1,1,BSPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ALBAMED-2012-DH-edited.xls,999
ICCAT-ALBANATL-1950-2010-CHING,ICCAT,ALBANATL,Albacore tuna North Atlantic,CHING,9/25/2012,12/4/2012,1950-2010,www.iccat.int/Documents/SCRS/DetRep/DET-ALB-NA.pdf,Paul de Bruyn (pdebruyn@azti.es),NULL,Paper-SCRS/2009/015-Report-of-the-2009-ICCAT-albacore-stock-assessment-session.,1,1,MULTIFAN-CL,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ALBANATL-2012-DH-edited.xls,999
ISC-ALBANPAC-1952-2010-CHING,ISC,ALBANPAC,Albacore tuna North Pacific,CHING,9/28/2012,11/22/2012,1952-2010,www.wcpfc.int/doc/sa-wp-10/stock-assessment-albacore-tuna-north-pacific-ocean-2011,"Albacore Working Group report, SSB and R from assessment document sent out for CIE review, sent by John Holmes (John.Holmes@dfo-mpo.gc.ca). Catch and total biomass from Steve Teo (steve.teo@noaa.gov).",NULL,WCPFC-SC7-2011/SA-WP-10-Stock-assessment-of-albacore-tuna-in-the-North-Pacific-Ocean-in-2011.,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ALBANPAC-2012-DH-edited.xls,999
ICCAT-ALBASATL-1956-2010-CHING,ICCAT,ALBASATL,Albacore tuna South Atlantic,CHING,9/28/2012,11/22/2012,1956-2010,www.iccat.es/Documents/Meetings/Docs/2011_ALB_ASSESS_EN.pdf,Laurie Kell,NULL,"Report-of-the-2011-ICCAT-South-Atlantic-and-Mediterranean-albacore-stock-assessment-sessions-(Madrid, Spain  July 25 to 29, 2011).",1,1,ASPIC,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-ALBASATL-2012-DH-edited.xls,999
SPC-ALBASPAC-1965-2007-BRANCH,SPC,ALBASPAC,Albacore tuna South Pacific Ocean,BRANCH,7/19/2011,9/18/2012,1965-2007,"Hoyle, S. and N. Davies. 2009. Stock assessment of albacore tuna in the South Pacific Ocean. WCPFC-SC5-2009/SA-WP-6. http://www.spc.int/oceanfish/en/ofpsection/sam/sam/211-albacore-assessment-results#2009","*Simon Hoyle (SimonH@spc.int), John Hampton (JohnH@spc.int)*","data are from MULTIFAN-CL output files, not the assessment document",,1,1,MULTIFAN-CL,Data results available on website,/home/srdbadmin/srdb/spreadsheets/ALBSPAC-BRANCH-ALBSPAC-2009-DH-edited.xls,999
AFSC-ALPLAICBSAI-1972-2010-STACHURA,AFSC,ALPLAICBSAI,Alaska plaice Bering Sea and Aleutian Islands,STACHURA,5/11/2011,8/20/2012,1972-2010,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIplaice.pdf,"Thomas Wilderbuer, Tom.Wilderbuer@noaa.gov",NULL,,1,1,AD-CAM,no comments,/home/srdbadmin/srdb/spreadsheets/STACHURA-ALPLAICBSAI-2010-DH-edited.xls,999
DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE,DFO-NFLD,AMPL23K,American Plaice NAFO-23K,PREFONTAINE,6/3/2008,8/1/2012,1960-2004,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Karen Dwyer, Karen.Dwyer@dfo-mpo.gc.ca",The fishing mortality is estimated by the catch/index survey biomass and can be found in the report as a time series in Figure 18. The index for female spawning stock biomass is also found as a time series in the assessment in Figure 12. The time series f,,0,0,Survey indices,,../spreadsheets/PREFONTAINE-AMPL23K-2003-editedDR-QAQC.xls,999
